Pop Size,Max Generation,Mutation Rate,Solution Fitness,Solution Genome,Solution Size
8,20,0.01,125,12,1
8,20,0.05,150,3401,2
8,20,0.1,250,21340229,4
8,20,0.25,300,22133526,4
8,100,0.01,300,12080901,4
8,100,0.05,325,1434352215,5
8,100,0.1,400,2534302819042420,8
8,100,0.25,450,29133005210410200000,10
8,500,0.01,350,221230,3
8,500,0.05,350,12221330,4
8,500,0.1,450,16123428060417200000,10
8,500,0.25,475,1425313417301910000000,11
32,20,0.01,275,120624,3
32,20,0.05,225,351909,3
32,20,0.1,400,1932130722060120,8
32,20,0.25,375,11083022350624,7
32,100,0.01,350,123208063327,6
32,100,0.05,350,122230,3
32,100,0.1,350,122822,3
32,100,0.25,1364,2503161234290720000000,11
32,500,0.01,350,12280622,4
32,500,0.05,350,22281226,4
32,500,0.1,1557,12340828262102,7
32,500,0.25,1420,14233134302235100000,10
128,20,0.01,350,12013024,4
128,20,0.05,575,142512321330053000000000000000,15
128,20,0.1,550,1400231234322930000000000000,14
128,20,0.25,1451,251612340722280000,9
128,100,0.01,625,23250129130708200000000000000000,17
128,100,0.05,1625,123430222024,6
128,100,0.1,1720,1211302224,5
128,100,0.25,1557,23121122282102,7
128,500,0.01,350,120622,3
128,500,0.05,350,12350622,4
128,500,0.1,1625,123408072221,6
128,500,0.25,1720,1211302224,5
256,20,0.01,375,12312209272408,7
256,20,0.05,550,312320829073304000000000000,14
256,20,0.1,1557,11133022351009,7
256,20,0.25,1405,23163111302210100000,10
256,100,0.01,350,12200624,4
256,100,0.05,1506,2511133007351000,8
256,100,0.1,1557,12340822282620,7
256,100,0.25,1625,251211083024,6
256,500,0.01,350,22110734,4
256,500,0.05,1625,123408072220,6
256,500,0.1,1720,1211302224,5
256,500,0.25,1720,1211302224,5
